AST%_advanced,Age,BLK%_advanced,BPM_advanced,DBPM_advanced,DRB%_advanced,DWS_advanced,G_advanced,MP_advanced,OBPM_advanced,ORB%_advanced,OWS_advanced,PER_advanced,Player,Pos,Rk_advanced,STL%_advanced,TRB%_advanced,Tm,USG%_advanced,VORP_advanced,WS/48_advanced,WS_advanced,type,year
4.9,23,2.5,-1.1,1.4,19.5,0.9,63,847,-2.5,9.5,0.6,10.1,Quincy Acy,SF,1,1.4,14.4,TOT,10.1,0.2,0.086,1.5,advanced,2014
4.9,20,3.9,0.3,2.4,17.1,1.9,81,1197,-2.1,14.1,0.9,11.2,Steven Adams,C,2,1.7,15.6,OKC,11.7,0.7,0.114,2.9,advanced,2014
6.8,27,3,-1.1,0.3,24.8,1.1,53,961,-1.4,11.8,1.6,17.4,Jeff Adrien,PF,3,1.3,18.2,TOT,17.3,0.2,0.134,2.7,advanced,2014
16.9,28,0.1,-0.6,-2.3,10.2,1,73,2552,1.7,1.4,4.3,16,Arron Afflalo,SG,4,0.7,5.8,ORL,23.3,0.9,0.099,5.3,advanced,2014
6.6,25,4.1,-0.7,0.8,22.7,0.9,56,951,-1.5,11.3,1.2,14.6,Alexis Ajinca,C,5,1.3,16.9,NOP,16.3,0.3,0.104,2.1,advanced,2014
6.4,25,8.1,1.2,3.8,33.8,0.6,46,330,-2.6,12.8,0.6,19.1,Cole Aldrich,C,6,1.3,23,NYK,13,0.3,0.178,1.2,advanced,2014
13,28,1.9,0.3,0.7,25.5,3.5,69,2498,-0.4,7.2,4,21.8,LaMarcus Aldridge,PF,7,1.3,16.5,POR,29.8,1.5,0.144,7.5,advanced,2014
10.1,24,2.4,-2.8,0.3,20,0.9,65,1072,-3.1,11.7,0.6,12.5,Lavoy Allen,PF,8,1.1,15.7,TOT,14.6,-0.2,0.066,1.5,advanced,2014
11.1,38,0.4,0.1,-1.2,11.4,1.5,73,1936,1.3,1.6,2.5,12.8,Ray Allen,SG,9,1.5,6.7,MIA,16.8,1,0.101,4.1,advanced,2014
11.7,32,1.2,2.3,2.4,12,2.1,55,1278,-0.1,7.3,0.5,15.6,Tony Allen,SG,10,3.8,9.6,MEM,20.1,1.4,0.1,2.7,advanced,2014
8.4,23,1.6,-0.3,1,21.2,1.8,80,2045,-1.4,7.2,1.3,13.2,Al-Farouq Aminu,SF,11,2.1,14.1,NOP,14.3,0.9,0.072,3.1,advanced,2014
4.7,31,5,-1.3,2.1,17.2,0.2,19,185,-3.4,17.3,-0.1,9.1,Lou Amundson,PF,12,2.5,17.3,TOT,13.9,0,0.024,0.1,advanced,2014
2.1,35,6.1,1.6,1.5,21.7,2.2,72,1396,0.1,12.1,3.8,18.5,Chris Andersen,C,13,1.2,17.1,MIA,13.8,1.3,0.205,6,advanced,2014
7.3,31,0.5,-2.2,-1.4,9.1,0.9,78,1773,-0.8,2.7,0.8,9.5,Alan Anderson,SF,14,1.4,5.9,BRK,15.9,-0.1,0.047,1.7,advanced,2014
9.9,24,1,-2.5,-1.3,11.7,0.9,80,2309,-1.2,2.7,0.9,10.9,James Anderson,SG,15,1.6,7,PHI,15.9,-0.3,0.039,1.9,advanced,2014
3.6,25,0.7,-0.1,-4.5,11.3,0.1,22,795,4.3,9.5,2.2,18.8,Ryan Anderson,PF,16,0.7,10.4,NOP,22.9,0.4,0.138,2.3,advanced,2014
12.1,19,2.6,-1.8,0.7,16.3,1.1,77,1897,-2.5,4.6,0.1,10.8,Giannis Antetokounmpo,SF,17,1.7,10.2,MIL,15,0.1,0.031,1.2,advanced,2014
15.8,29,1.5,3.6,-1,19.4,2.5,77,2982,4.6,5.6,8.1,24.4,Carmelo Anthony,PF,18,1.7,12.3,NYK,32.4,4.2,0.172,10.7,advanced,2014
