RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,year,Player,pos
1.0,"LeBron James, SF",MIA,77.0,37.7,8.65,0.43,9.08,19.87,2014,LeBron James, SF
2.0,"Chris Paul, PG",LAC,62.0,35.0,6.03,1.95,7.98,14.47,2014,Chris Paul, PG
3.0,"Andre Iguodala, SF",GS,63.0,32.4,1.89,4.74,6.63,11.47,2014,Andre Iguodala, SF
4.0,"Kevin Durant, SF",OKC,81.0,38.5,6.27,0.15,6.42,17.63,2014,Kevin Durant, SF
5.0,"Dirk Nowitzki, PF",DAL,80.0,32.9,4.56,1.79,6.35,14.05,2014,Dirk Nowitzki, PF
6.0,"Stephen Curry, PG",GS,78.0,36.5,6.62,-0.38,6.24,15.48,2014,Stephen Curry, PG
7.0,"Nick Collison, PF",OKC,81.0,16.7,2.08,3.64,5.72,6.9,2014,Nick Collison, PF
8.0,"Manu Ginobili, SG",SA,68.0,22.8,5.07,0.35,5.42,7.68,2014,Manu Ginobili, SG
9.0,"Tim Duncan, C",SA,74.0,29.2,-0.05,5.38,5.33,10.39,2014,Tim Duncan, C
10.0,"LaMarcus Aldridge, PF",POR,69.0,36.2,1.89,3.23,5.12,11.64,2014,LaMarcus Aldridge, PF
11.0,"Channing Frye, PF",PHX,82.0,28.2,3.92,1.17,5.09,10.83,2014,Channing Frye, PF
12.0,"Kevin Love, PF",MIN,77.0,36.3,3.52,1.54,5.06,13.52,2014,Kevin Love, PF
14.0,"Mike Conley, PG",MEM,73.0,33.5,4.28,0.42,4.7,10.24,2014,Mike Conley, PG
15.0,"Blake Griffin, PF",LAC,80.0,35.8,2.65,2.0,4.65,12.79,2014,Blake Griffin, PF
16.0,"Amir Johnson, PF",TOR,77.0,28.8,1.47,3.14,4.61,9.22,2014,Amir Johnson, PF
17.0,"Joakim Noah, C",CHI,80.0,35.3,0.65,3.92,4.57,11.3,2014,Joakim Noah, C
18.0,"Vince Carter, SG",DAL,81.0,24.4,2.02,2.46,4.48,8.35,2014,Vince Carter, SG
19.0,"Serge Ibaka, PF",OKC,81.0,32.9,1.23,3.23,4.46,11.63,2014,Serge Ibaka, PF
21.0,"Kyle Lowry, PG",TOR,79.0,36.2,3.84,0.41,4.25,11.56,2014,Kyle Lowry, PG
22.0,"Dwight Howard, C",HOU,71.0,33.7,-0.67,4.91,4.24,9.86,2014,Dwight Howard, C
23.0,"Taj Gibson, PF",CHI,82.0,28.7,0.56,3.64,4.2,8.84,2014,Taj Gibson, PF
24.0,"Marcin Gortat, C",WSH,81.0,32.8,0.12,4.0,4.12,10.37,2014,Marcin Gortat, C
26.0,"Anderson Varejao, C",CLE,65.0,27.7,0.47,3.59,4.06,6.88,2014,Anderson Varejao, C
27.0,"Chris Andersen, PF",MIA,72.0,19.4,0.19,3.81,4.0,5.17,2014,Chris Andersen, PF
28.0,"Patty Mills, PG",SA,81.0,18.9,3.42,0.58,4.0,6.07,2014,Patty Mills, PG
29.0,"Ricky Rubio, PG",MIN,82.0,32.2,1.43,2.47,3.9,10.76,2014,Ricky Rubio, PG
32.0,"David West, PF",IND,80.0,30.9,1.23,2.37,3.6,8.87,2014,David West, PF
33.0,"Marc Gasol, C",MEM,59.0,33.4,-1.64,5.23,3.59,6.87,2014,Marc Gasol, C
34.0,"DeAndre Jordan, C",LAC,82.0,35.0,0.19,3.37,3.56,10.85,2014,DeAndre Jordan, C
35.0,"Tiago Splitter, C",SA,59.0,21.5,-1.01,4.53,3.52,4.7,2014,Tiago Splitter, C
36.0,"Danny Green, SG",SA,68.0,24.3,0.79,2.72,3.51,6.13,2014,Danny Green, SG
38.0,"Draymond Green, PF",GS,82.0,21.9,-0.49,3.99,3.5,6.54,2014,Draymond Green, PF
39.0,"Goran Dragic, PG",PHX,76.0,35.1,4.57,-1.14,3.43,9.73,2014,Goran Dragic, PG
40.0,"Ty Lawson, PG",DEN,62.0,35.8,4.38,-1.08,3.3,8.32,2014,Ty Lawson, PG
41.0,"Kyle Korver, SG",ATL,71.0,33.9,2.53,0.73,3.26,8.35,2014,Kyle Korver, SG
42.0,"DeMarre Carroll, SF",ATL,73.0,32.1,1.29,1.92,3.21,8.1,2014,DeMarre Carroll, SF
43.0,"Deron Williams, PG",BKN,64.0,32.2,4.87,-1.67,3.2,6.89,2014,Deron Williams, PG
44.0,"Chris Bosh, PF",MIA,79.0,32.0,0.14,3.04,3.18,8.41,2014,Chris Bosh, PF
45.0,"James Harden, SG",HOU,73.0,38.0,5.97,-2.84,3.13,9.67,2014,James Harden, SG
46.0,"Mike Dunleavy, SG",CHI,82.0,31.5,1.16,1.91,3.07,8.22,2014,Mike Dunleavy, SG
47.0,"Kawhi Leonard, SF",SA,66.0,29.1,0.89,2.13,3.02,6.56,2014,Kawhi Leonard, SF
48.0,"Luol Deng, SF",CHI/CLE,63.0,35.1,1.15,1.82,2.97,7.0,2014,Luol Deng, SF
50.0,"Damian Lillard, PG",POR,82.0,35.8,4.74,-1.95,2.79,9.4,2014,Damian Lillard, PG
51.0,"Matt Bonner, C",SA,61.0,11.3,2.16,0.61,2.77,2.16,2014,Matt Bonner, C
52.0,"Joe Johnson, SF",BKN,79.0,32.6,3.55,-0.8,2.75,7.8,2014,Joe Johnson, SF
53.0,"Carmelo Anthony, SF",NY,77.0,38.7,3.77,-1.02,2.75,8.93,2014,Carmelo Anthony, SF
54.0,"Paul George, SF",IND,80.0,36.2,0.16,2.58,2.74,8.88,2014,Paul George, SF
55.0,"Tony Parker, PG",SA,68.0,29.4,3.11,-0.4,2.71,6.4,2014,Tony Parker, PG
56.0,"Pablo Prigioni, PG",NY,66.0,19.4,1.73,0.81,2.54,3.61,2014,Pablo Prigioni, PG
57.0,"Paul Pierce, SF",BKN,75.0,28.0,-0.63,3.13,2.5,6.1,2014,Paul Pierce, SF
58.0,"George Hill, PG",IND,76.0,32.0,1.93,0.56,2.49,7.03,2014,George Hill, PG
59.0,"Robin Lopez, C",POR,82.0,31.8,-0.33,2.76,2.43,7.69,2014,Robin Lopez, C
61.0,"Matt Barnes, SF",LAC,63.0,27.5,1.95,0.39,2.34,5.24,2014,Matt Barnes, SF
63.0,"Isaiah Thomas, PG",SAC,72.0,34.7,3.85,-1.62,2.23,7.2,2014,Isaiah Thomas, PG
65.0,"John Wall, PG",WSH,82.0,36.3,2.66,-0.44,2.22,8.3,2014,John Wall, PG
67.0,"Al Jefferson, C",CHA,73.0,35.0,1.12,1.02,2.14,6.84,2014,Al Jefferson, C
69.0,"Jimmy Butler, SG",CHI,67.0,38.7,0.9,1.23,2.13,6.77,2014,Jimmy Butler, SG
70.0,"Paul Millsap, PF",ATL,74.0,33.5,0.04,2.06,2.1,6.84,2014,Paul Millsap, PF
71.0,"Andre Miller, PG",DEN/WSH,58.0,16.9,1.85,0.24,2.09,2.59,2014,Andre Miller, PG
72.0,"Zach Randolph, PF",MEM,79.0,34.2,1.06,1.03,2.09,7.09,2014,Zach Randolph, PF
73.0,"Anthony Tolliver, PF",CHA,64.0,20.3,-0.12,2.21,2.09,3.54,2014,Anthony Tolliver, PF
74.0,"Andrew Bogut, C",GS,67.0,26.4,-3.1,5.16,2.06,5.03,2014,Andrew Bogut, C
75.0,"Klay Thompson, SG",GS,81.0,35.4,2.2,-0.17,2.03,7.91,2014,Klay Thompson, SG
76.0,"Avery Bradley, PG",BOS,60.0,30.9,0.76,1.22,1.98,5.05,2014,Avery Bradley, PG
