Name,PO,A,E,FP,Range_Factor,DRS,UZR,FP_Rank,RF_Rank,DRS_Rank,UZR_Rank
Orlando Cabrera,229,347,7,0.988,4.177276390008058,6,19.6,1.5,22.0,7.5,1.0
Jack Wilson,246,522,14,0.982,5.088970588235294,32,14.3,4.5,3.0,1.0,2.0
Adam Everett,209,420,14,0.978,4.388544891640867,25,13.7,10.0,16.0,2.0,3.0
Juan Uribe,250,422,16,0.977,4.6705336426914155,6,7.5,11.5,9.0,7.5,4.0
Omar Vizquel,234,426,8,0.988,4.597523219814241,1,6.9,1.5,12.0,12.0,5.0
Neifi Perez,175,385,10,0.983,4.686737184703011,17,6.4,3.0,8.0,5.0,6.0
Rafael Furcal,256,504,15,0.981,5.230474732006125,24,4.3,7.0,1.0,3.0,7.0
J.J. Hardy,133,259,10,0.975,3.761194029850746,8,4.1,13.0,25.0,6.0,8.0
Julio Lugo,311,424,24,0.968,4.933532486930545,-5,1.9,22.0,4.0,17.5,9.0
Jimmy Rollins,208,411,12,0.981,4.101769911504425,18,0.5,7.0,24.0,4.0,11.0
Felipe Lopez,186,357,17,0.97,4.198529411764706,-2,0.8,20.5,21.0,13.5,10.0
Jose Reyes,237,427,18,0.9740000000000001,4.274678111587983,-6,-2.5,15.0,18.0,19.0,15.0
Cesar Izturis,146,325,11,0.977,4.627450980392157,4,-0.1,11.5,10.0,9.5,12.0
Alex Gonzalez,221,367,16,0.9740000000000001,4.868445262189513,3,-1.5,15.0,5.0,11.0,13.0
Cristian Guzman,217,327,15,0.973,4.209302325581396,-4,-2.1,17.0,20.0,15.5,14.0
Miguel Tejada,252,480,22,0.971,4.716129032258064,4,-4.2,18.5,7.0,9.5,16.0
Royce Clayton,180,404,11,0.982,4.465590484282073,-4,-5.0,4.5,14.0,15.5,18.0
Khalil Greene,161,312,14,0.971,4.137026239067056,-11,-4.5,18.5,23.0,20.0,17.0
Jhonny Peralta,207,412,19,0.97,4.529220779220779,-5,-6.1,20.5,13.0,17.5,19.0
David Eckstein,244,516,15,0.981,5.100671140939597,-2,-8.4,7.0,2.0,13.5,20.0
Edgar Renteria,227,398,30,0.9540000000000001,4.3503480278422275,-13,-8.5,24.0,17.0,21.5,21.0
Angel Berroa,254,442,25,0.965,4.599264705882352,-21,-9.6,23.0,11.0,23.0,22.0
Russ Adams,194,326,26,0.9520000000000001,4.254545454545455,-13,-13.6,25.0,19.0,21.5,23.0
Derek Jeter,262,454,15,0.98,4.762749445676275,-27,-15.0,9.0,6.0,24.0,24.0
Michael Young,239,426,18,0.9740000000000001,4.413716814159292,-32,-23.2,15.0,15.0,25.0,25.0
