playerID,yearID,InnOuts,PO,A,E,playerID_2,yearID_2,InnOuts_2,PO_2,A_2,E_2
andruel01,2009,3714.0,261.0,407.0,22.0,andruel01,2010,3873.0,242.0,401.0,16.0
andruel01,2010,3873.0,242.0,401.0,16.0,andruel01,2011,3783.0,245.0,407.0,25.0
andruel01,2011,3783.0,245.0,407.0,25.0,andruel01,2012,3999.0,233.0,414.0,16.0
andruel01,2012,3999.0,233.0,414.0,16.0,andruel01,2013,3867.0,212.0,362.0,14.0
andruel01,2013,3867.0,212.0,362.0,14.0,andruel01,2014,3927.0,237.0,371.0,18.0
aurilri01,1998,2754.0,154.0,313.0,10.0,aurilri01,1999,3843.0,218.0,411.0,28.0
aurilri01,1999,3843.0,218.0,411.0,28.0,aurilri01,2000,3579.0,218.0,403.0,21.0
aurilri01,2000,3579.0,218.0,403.0,21.0,aurilri01,2001,3939.0,246.0,423.0,17.0
aurilri01,2001,3939.0,246.0,423.0,17.0,aurilri01,2002,3378.0,213.0,334.0,11.0
aurilri01,2002,3378.0,213.0,334.0,11.0,aurilri01,2003,3192.0,173.0,316.0,13.0
aybarer01,2009,3567.0,240.0,378.0,11.0,aybarer01,2010,3540.0,198.0,344.0,21.0
aybarer01,2010,3540.0,198.0,344.0,21.0,aybarer01,2011,3786.0,240.0,406.0,13.0
aybarer01,2011,3786.0,240.0,406.0,13.0,aybarer01,2012,3570.0,232.0,359.0,15.0
aybarer01,2012,3570.0,232.0,359.0,15.0,aybarer01,2013,3609.0,217.0,328.0,15.0
aybarer01,2013,3609.0,217.0,328.0,15.0,aybarer01,2014,4095.0,194.0,359.0,10.0
barmecl01,2011,3174.0,171.0,356.0,12.0,barmecl01,2012,3477.0,147.0,399.0,16.0
bartlja01,2007,3582.0,205.0,415.0,26.0,bartlja01,2008,3291.0,204.0,309.0,16.0
bartlja01,2008,3291.0,204.0,309.0,16.0,bartlja01,2009,3462.0,170.0,339.0,20.0
bartlja01,2009,3462.0,170.0,339.0,20.0,bartlja01,2010,3312.0,152.0,309.0,11.0
bartlja01,2010,3312.0,152.0,309.0,11.0,bartlja01,2011,3633.0,203.0,391.0,18.0
bellja01,1996,3868.0,215.0,478.0,10.0,bellja01,1997,3813.0,227.0,443.0,10.0
bellja01,1997,3813.0,227.0,443.0,10.0,bellja01,1998,3527.0,196.0,399.0,18.0
berroan01,2003,4146.0,264.0,473.0,24.0,berroan01,2004,3429.0,207.0,389.0,28.0
berroan01,2004,3429.0,207.0,389.0,28.0,berroan01,2005,4080.0,254.0,441.0,25.0
berroan01,2005,4080.0,254.0,441.0,25.0,berroan01,2006,3351.0,188.0,366.0,18.0
betanyu01,2006,4122.0,251.0,430.0,20.0,betanyu01,2007,3906.0,239.0,435.0,23.0
