nameFull,HR_2012,HR_2013,HR_2014,HR_2015,BB_2012,BB_2013,BB_2014,BB_2015,HBP_2012,HBP_2013,HBP_2014,HBP_2015,SO_2012,SO_2013,SO_2014,SO_2015,IPouts_2012,IPouts_2013,IPouts_2014,IPouts_2015
A. J. Burnett,18,11,20,11,62,67,96,49,9,9,16,11,180,209,190,143,607,573,641,492
Chris Sale,19,23,13,23,51,46,39,42,6,14,11,13,192,226,208,274,576,643,522,626
Clayton Kershaw,16,11,9,15,63,52,31,42,5,3,2,5,229,232,239,301,683,708,595,698
Cole Hamels,24,21,14,22,52,50,59,62,3,9,8,10,216,202,198,215,646,660,614,637
Dan Haren,28,28,27,31,38,31,36,38,3,7,3,8,142,151,145,132,530,509,558,562
David Price,16,16,25,17,59,27,38,47,5,3,5,3,205,151,271,225,633,560,745,661
Edinson Volquez,14,19,17,16,105,77,71,72,9,3,14,8,174,142,140,155,548,511,578,601
Felix Hernandez,14,15,16,23,56,46,46,58,12,3,5,9,223,216,500,191,696,613,708,605
Ian Kennedy,,27,16,31,55,73,70,52,14,12,4,7,187,163,207,174,625,544,603,505
James Shields,25,20,23,33,58,68,44,81,11,8,11,9,223,196,180,216,683,686,681,607
Jeff Samardzija,,25,20,29,,78,43,49,,8,10,12,,214,202,163,,641,659,642
Jeff Samarja,20,,,,56,,,,4,,,,180,,,,524,,,
Jon Lester,25,19,16,16,68,67,48,47,4,7,5,7,166,177,220,207,616,640,659,615
Jordan Zimmerman,,19,,,,40,,,,7,,,,161,,,,640,,
Jordan Zimmermann,18,,13,24,43,,29,39,8,,6,8,153,,182,164,587,,599,605
Lance Lynn,16,14,13,13,64,76,72,68,10,11,7,5,180,198,181,167,528,605,611,526
Madison Bumgarner,23,15,21,21,49,62,43,39,7,6,6,7,191,199,219,234,625,604,652,655
Mark Buehrle,26,24,15,22,40,51,46,33,4,9,4,7,125,139,119,91,607,611,606,596
Max Sherzer,23,18,18,27,60,56,63,34,5,4,6,5,231,240,252,276,563,643,661,686
Mike Leake,-28,21,23,22,41,48,50,49,3,6,13,3,116,122,164,119,537,577,643,576
R. A. Dickey,24,35,26,25,54,71,74,61,9,10,14,11,230,177,173,126,701,674,647,643
Rick Porcello,16,18,18,25,44,42,41,38,6,3,4,10,107,142,129,149,529,531,614,516
Wade Miley,14,21,23,17,37,66,75,64,2,4,4,4,144,147,183,147,584,608,604,581
Yovani Gallardo,26,18,21,15,81,66,54,68,0,3,4,1,204,144,146,121,612,542,577,553
Zack Greinke,18,13,19,14,54,46,43,40,2,7,2,5,200,148,207,200,637,533,607,668
