playerid,Name,BABIP_2016
2036,Clayton Kershaw,0.254
11762,Noah Syndergaard,0.33399999999999996
11530,Jose Fernandez,0.332
3137,Max Scherzer,0.255
6893,Johnny Cueto,0.293
8700,Justin Verlander,0.255
2717,Rick Porcello,0.26899999999999996
10603,Chris Sale,0.27899999999999997
2429,Corey Kluber,0.271
5524,Madison Bumgarner,0.265
11423,Jose Quintana,0.293
15764,Masahiro Tanaka,0.271
12049,Kyle Hendricks,0.25
3184,David Price,0.31
4930,Jon Lester,0.256
10131,Stephen Strasburg,0.294
4806,Rich Hill,0.275
11490,Aaron Sanchez,0.267
4153,Jake Arrieta,0.24100000000000002
14916,Jon Gray,0.308
13431,Marcus Stroman,0.308
11828,James Paxton,0.34700000000000003
4776,Matt Shoemaker,0.315
11682,Carlos Martinez,0.28600000000000003
18498,Kenta Maeda,0.28300000000000003
4371,Jeremy Hellickson,0.27399999999999997
3200,Ervin Santana,0.285
3096,Kenley Jansen,0.23800000000000002
10954,Jacob deGrom,0.312
8753,Tanner Roark,0.26899999999999996
7410,J.A. Happ,0.268
6797,Julio Teheran,0.26
5372,Michael Pineda,0.33899999999999997
6345,Chris Archer,0.29600000000000004
1507,John Lackey,0.255
11486,Robbie Ray,0.35200000000000004
7531,Collin McHugh,0.33799999999999997
14107,Kevin Gausman,0.308
13218,Michael Fulmer,0.268
4972,Cole Hamels,0.299
1118,Marco Estrada,0.23399999999999999
6785,Andrew Miller,0.256
12664,Jerad Eickhoff,0.278
2233,Adam Wainwright,0.33
11426,Drew Pomeranz,0.268
6216,Dellin Betances,0.353
7448,Gio Gonzalez,0.316
12763,Chris Devenski,0.271
375,Bartolo Colon,0.29100000000000004
16149,Aaron Nola,0.33399999999999996
13361,Steven Matz,0.313
10233,Aroldis Chapman,0.268
13074,Yu Darvish,0.29
8185,Steven Wright,0.27899999999999997
9434,Dallas Keuchel,0.304
13183,Zach Davies,0.302
3542,Danny Duffy,0.29100000000000004
12703,Trevor Bauer,0.292
3254,Jeff Samardzija,0.285
7024,Miguel Gonzalez,0.289
404,CC Sabathia,0.28800000000000003
16137,Carlos Rodon,0.33
18719,Seung Hwan Oh,0.27
10586,Addison Reed,0.28600000000000003
3830,Ricky Nolasco,0.294
13125,Gerrit Cole,0.345
5867,Danny Salazar,0.307
10130,Mike Leake,0.318
10587,Chad Bettis,0.31
6632,Carlos Carrasco,0.289
3240,Zach Britton,0.23
12880,Tyler Anderson,0.318
13048,Hisashi Iwakuma,0.311
5279,Chris Tillman,0.282
5702,Junior Guerra,0.25
1994,Ivan Nova,0.306
1890,Matt Moore,0.285
11189,Vince Velasquez,0.325
5114,Jeurys Familia,0.304
1943,Zack Greinke,0.294
14120,Lance McCullers,0.38299999999999995
13713,Kyle Barraclough,0.301
12972,Joe Ross,0.319
6397,Jake Odorizzi,0.271
12022,Matt Andriese,0.304
4338,Tyler Chatwood,0.28600000000000003
11760,Drew Smyly,0.29100000000000004
6033,Kelvin Herrera,0.29
10688,Tyler Thornburg,0.22899999999999998
11713,Matt Harvey,0.353
13050,Anthony DeSclafani,0.295
6316,David Phelps,0.28600000000000003
14078,Michael Wacha,0.33399999999999996
6902,Martin Perez,0.28600000000000003
14710,Edwin Diaz,0.377
15873,Sean Manaea,0.281
13543,Blake Snell,0.35600000000000004
4264,Mark Melancon,0.259
3192,Will Harris,0.293
13764,Roberto Osuna,0.256
12918,Archie Bradley,0.33799999999999997
7754,Mike Fiers,0.313
4696,Nate Jones,0.243
14765,Julio Urias,0.358
7942,Christian Friedrich,0.295
11674,Jameson Taillon,0.287
15514,Kendall Graveman,0.289
3374,Ubaldo Jimenez,0.318
2608,Jhoulys Chacin,0.317
6627,Brad Brach,0.267
6986,Ian Kennedy,0.268
9895,Chris Rusin,0.308
7385,Dan Otero,0.26
9111,Brad Hand,0.264
8779,Wade Miley,0.32799999999999996
1246,Matt Bush,0.245
12910,Ken Giles,0.349
14457,Adam Conley,0.299
4538,Jason Hammel,0.267
8350,A.J. Ramos,0.309
7731,Juan Nicasio,0.331
3990,Edinson Volquez,0.319
17130,Raisel Iglesias,0.275
11855,Yordano Ventura,0.297
3656,Jim Johnson,0.314
15015,Alex Reyes,0.28300000000000003
13696,Robert Gsellman,0.325
4505,Jordan Zimmermann,0.304
10811,Mike Foltynewicz,0.301
3340,Matt Garza,0.311
7441,Wade Davis,0.3
7293,Brad Ziegler,0.325
13781,Alex Wood,0.317
3548,Liam Hendriks,0.344
3840,Zach Duke,0.297
10756,Shane Greene,0.327
11804,Hector Neris,0.272
4897,Scott Kazmir,0.298
4090,Luke Gregerson,0.239
12638,Nathan Karns,0.327
6655,Craig Kimbrel,0.242
13194,Joe Biagini,0.32
10430,Mychal Givens,0.314
13164,Eduardo Rodriguez,0.278
8137,Jaime Garcia,0.305
13475,Daniel Norris,0.327
9425,Doug Fister,0.299
9456,Ryan Buchter,0.22699999999999998
6661,Alex Colome,0.28
10123,Kyle Gibson,0.33
6570,Tom Koehler,0.298
13133,Derek Law,0.27
13273,Ross Stripling,0.28300000000000003
7773,Shawn Kelley,0.258
4301,Justin Wilson,0.34
13974,Ryan Dull,0.209
9460,Dan Straily,0.239
13758,Tyler Duffey,0.33899999999999997
4772,Felix Hernandez,0.271
12183,Cody Allen,0.23199999999999998
11710,Sam Dyson,0.29100000000000004
1245,R.A. Dickey,0.27899999999999997
14975,Chad Kuhl,0.304
8241,David Robertson,0.307
11801,Hansel Robles,0.307
12917,Dylan Bundy,0.299
9388,Josh Tomlin,0.276
13360,Cam Bedrosian,0.309
36,Xavier Cedeno,0.293
9239,Alex Wilson,0.285
6483,Steve Cishek,0.242
15440,Matt Boyd,0.28600000000000003
4869,Mike Montgomery,0.267
4141,Derek Holland,0.295
9490,Jeremy Jeffress,0.303
1051,Jake Peavy,0.32
4849,Joe Blanton,0.24
1259,Colby Lewis,0.24100000000000002
10066,Ian Krol,0.355
13533,Andrew Triggs,0.315
3284,Anibal Sanchez,0.317
7005,Ryan Pressly,0.311
7738,Wily Peralta,0.336
13071,Wei-Yin Chen,0.302
8073,Dan Jennings,0.309
3555,Tony Barnette,0.289
5525,Boone Logan,0.221
7836,Hunter Strickland,0.27399999999999997
4878,Brandon Maurer,0.29600000000000004
12970,Joe Musgrove,0.289
10637,Adam Liberatore,0.29600000000000004
11903,Michael Feliz,0.315
13799,Matt Strahm,0.28300000000000003
4070,Pedro Strop,0.221
12076,Felipe Rivero,0.312
12890,Alex Claudio,0.312
5358,Jose Alvarez,0.36200000000000004
12768,Sonny Gray,0.319
11457,Sammy Solis,0.294
9784,Garrett Richards,0.302
8048,Will Smith,0.289
9492,Bud Norris,0.312
10547,Jimmy Nelson,0.299
7841,Jerry Blevins,0.302
4662,Brandon McCarthy,0.278
6819,Robbie Ross Jr.,0.295
13528,Matt Bowman,0.27
5003,Jake Diekman,0.248
10190,Tyler Skaggs,0.331
16980,Daniel Mengden,0.344
1837,Matt Belisle,0.285
7624,Carlos Torres,0.26
13654,Jharel Cotton,0.198
9132,Nathan Eovaldi,0.275
12317,Colin Rea,0.29
7146,Daniel Hudson,0.331
2391,Hector Rondon,0.27399999999999997
12975,Mauricio Cabrera,0.282
1642,Francisco Rodriguez,0.252
12580,Adam Morgan,0.332
13560,Alec Asher,0.231
8173,Yovani Gallardo,0.303
1247,Adam Ottavino,0.25
15890,Luis Severino,0.324
5640,Tyler Clippard,0.28800000000000003
13607,Carl Edwards Jr.,0.162
11754,Justin Nicolino,0.317
11753,Kyle Ryan,0.26899999999999996
13449,Taylor Rogers,0.326
11432,A.J. Schugel,0.264
11836,Taijuan Walker,0.267
9227,Koji Uehara,0.26
10197,Shelby Miller,0.34
1581,Sean Doolittle,0.281
8490,Buddy Boshers,0.308
8362,Homer Bailey,0.452
13442,Mike Morin,0.295
11720,Justin Grimm,0.321
7947,Cory Gearrin,0.28600000000000003
9939,Brandon Kintzler,0.31
1157,Tommy Hunter,0.324
12323,Jacob Barnes,0.315
6895,Chase Anderson,0.287
4682,Pat Neshek,0.21600000000000003
4026,Hector Santiago,0.26
2882,Luis Avilan,0.28600000000000003
16400,Reynaldo Lopez,0.32299999999999995
9323,Patrick Corbin,0.322
3201,Francisco Liriano,0.29600000000000004
9866,Chaz Roe,0.28600000000000003
1437,Joaquin Benoit,0.262
3551,Clayton Richard,0.33799999999999997
11203,Grant Dayton,0.196
9033,Jeanmar Gomez,0.327
5420,Pedro Baez,0.23199999999999998
12938,Gabriel Ynoa,0.413
16086,Edubray Ramos,0.298
5830,Jhan Marinez,0.309
5203,Mike Pelfrey,0.34700000000000003
15094,Rob Zastryzny,0.27899999999999997
12804,Matt Wisler,0.27899999999999997
12572,Blake Treinen,0.28
16918,Luke Weaver,0.386
5070,Josh Fields,0.39
7525,Evan Scribner,0.161
2660,Brett Cecil,0.344
3862,Rubby de la Rosa,0.257
14697,Severino Gonzalez,0.34299999999999997
15010,Corey Knebel,0.33299999999999996
3543,Clay Buchholz,0.263
7558,Fernando Rodriguez,0.257
4676,Charlie Morton,0.326
6612,Marc Rzepczynski,0.33299999999999996
12691,Tyler Wilson,0.301
12988,Andrew Chafin,0.368
12863,Matt Barnes,0.318
14843,Michael Lorenzen,0.27699999999999997
8110,Bryan Shaw,0.284
494,Fernando Rodney,0.302
7541,Lucas Harrell,0.302
9080,Zach Putnam,0.324
13796,Tyler Wagner,0.29
14542,Carlos Estevez,0.297
2047,Jorge de la Rosa,0.325
2895,Zach McAllister,0.318
6283,Scott Feldman,0.308
9761,Joe Kelly,0.358
11388,Danny Barnes,0.359
2237,Blaine Boyer,0.325
5766,Bruce Rondon,0.228
13394,Dylan Floro,0.434
8782,Andrew Cashner,0.315
8410,Deolis Guerra,0.272
1852,Ryan Madson,0.292
11479,Bryan Mitchell,0.301
15033,Kyle Crockett,0.348
12447,Seth Lugo,0.23
16208,Brandon Finnegan,0.256
5975,Jonathan Papelbon,0.327
11467,A.J. Cole,0.28300000000000003
7803,Richard Bleier,0.27
11632,Heath Hembree,0.294
6398,Trevor May,0.317
8044,Jason Vargas,0.21899999999999997
9073,Kirby Yates,0.34
1345,Blake Wood,0.315
8245,J.P. Howell,0.33799999999999997
2873,Santiago Casilla,0.292
16507,Dan Altavilla,0.306
2859,Ross Detwiler,0.32
13688,Ryan Merritt,0.19399999999999998
14093,Michael Ynoa,0.244
7555,Nick Vincent,0.271
9948,Mike Dunn,0.319
5498,Arodys Vizcaino,0.33299999999999996
4994,Fernando Abad,0.27699999999999997
13293,Daniel Coulombe,0.267
2929,Jeff Locke,0.314
7450,Phil Hughes,0.32299999999999995
15594,Nick Wittgren,0.28600000000000003
9309,Buddy Baumann,0.28
12808,Mike Clevinger,0.28800000000000003
9059,John Axford,0.311
13322,Jake Barrett,0.261
17233,Brian Ellington,0.278
13420,Matt Koch,0.154
11294,Zach Neal,0.265
3886,Gavin Floyd,0.24100000000000002
4259,David Hernandez,0.335
12833,Alex Meyer,0.324
13767,J.T. Chargois,0.35700000000000004
10745,Trevor Rosenthal,0.425
5985,Randall Delgado,0.309
12675,Phil Klein,0.382
9286,Rob Scahill,0.305
13403,Felix Pena,0.222
13942,Brent Suter,0.32799999999999996
15038,German Marquez,0.361
10267,Tanner Scheppers,0.222
9486,George Kontos,0.25
9817,Sergio Romo,0.292
12027,Brian Flynn,0.223
9174,Casey Kelly,0.341
13684,John Gant,0.32899999999999996
11589,Jose Urena,0.297
7593,Jordan Lyles,0.317
7501,Tommy Layne,0.27899999999999997
12876,Tony Zych,0.35700000000000004
8823,Oliver Drake,0.205
14361,Ty Blach,0.152
15306,Donnie Hart,0.212
12095,Yimi Garcia,0.31
10982,Chase Whitley,0.268
6780,Tyler Sturdevant,0.321
6943,Luke Hochevar,0.26899999999999996
15293,Steve Hathaway,0.395
12799,Cody Anderson,0.381
1122,Joe Nathan,0.33299999999999996
11487,Joely Rodriguez,0.29600000000000004
11592,Williams Perez,0.275
13211,Warwick Saupold,0.486
10591,Scott Alexander,0.38299999999999995
14682,Luis Perdomo,0.341
12586,Mike Wright,0.299
4891,Peter Moylan,0.281
4544,Chris Smith,0.214
1011,Ryan Vogelsong,0.28
1514,Oliver Perez,0.324
12237,Daniel Winkler,0.0
14200,Shae Simmons,0.273
10887,Perci Garner,0.444
4079,Junichi Tazawa,0.292
6983,Drew Storen,0.32
14374,Tyler Glasnow,0.317
10171,Jose Ramirez,0.27899999999999997
7872,Tyson Ross,0.474
13042,Robby Scott,0.33299999999999996
6499,Blaine Hardy,0.295
10291,Ryan Tepera,0.29100000000000004
14016,Ryan Garton,0.32
10315,Michael Tonkin,0.344
5224,Blake Parker,0.308
14239,Dario Alvarez,0.39299999999999996
12831,Matt Purke,0.35100000000000003
12235,Seth Maness,0.29600000000000004
12385,Nick Tropeano,0.309
5221,Wade LeBlanc,0.256
6200,Dustin Molleken,0.414
9137,Sean O'Sullivan,0.365
11449,Matt Grace,0.16699999999999998
17526,Ariel Miranda,0.222
8180,Kevin Siegrist,0.221
15671,Dalier Hinojosa,0.281
14665,Jandel Gustave,0.289
4759,Jonathan Broxton,0.268
2692,Joba Chamberlain,0.21600000000000003
6697,Miguel Socolovich,0.073
10976,Ryan O'Rourke,0.23800000000000002
4971,Fernando Salas,0.258
2951,Josh Ravin,0.059000000000000004
10962,Jake Buchanan,0.133
14099,Cesar Vargas,0.34299999999999997
13774,Zach Eflin,0.261
15046,Trevor Gott,0.33299999999999996
10258,Rafael Martin,0.0
6435,Vance Worley,0.281
8580,Justin Miller,0.364
11240,Kevin Chapman,0.469
3321,Darren O'Day,0.26
10510,Hunter Cervenka,0.259
14524,Jose Leclerc,0.289
8007,Jason Gurka,0.429
3815,Mat Latos,0.28
13580,Steven Okert,0.316
10354,Robbie Erlin,0.231
9884,Travis Wood,0.215
521,Jason Grilli,0.27
13150,Jayson Aquino,0.2
10304,Jarred Cosart,0.308
