away_team,away_points,home_team,home_points,away_rest,home_rest
Detroit Pistons,106,Atlanta Hawks,94,,
Cleveland Cavaliers,95,Chicago Bulls,97,,
New Orleans Pelicans,95,Golden State Warriors,111,,
Philadelphia 76ers,95,Boston Celtics,112,,
Chicago Bulls,115,Brooklyn Nets,100,0.0,
Utah Jazz,87,Detroit Pistons,92,,0.0
Denver Nuggets,105,Houston Rockets,85,,
Minnesota Timberwolves,112,Los Angeles Lakers,111,,
Cleveland Cavaliers,106,Memphis Grizzlies,76,0.0,
Charlotte Hornets,94,Miami Heat,104,,
New York Knicks,122,Milwaukee Bucks,97,,
San Antonio Spurs,106,Oklahoma City Thunder,112,,
Washington Wizards,88,Orlando Magic,87,,
Dallas Mavericks,111,Phoenix Suns,95,,
New Orleans Pelicans,94,Portland Trail Blazers,112,0.0,
Los Angeles Clippers,111,Sacramento Kings,104,,
Indiana Pacers,99,Toronto Raptors,106,,
Memphis Grizzlies,112,Indiana Pacers,103,0.0,0.0
Dallas Mavericks,88,Los Angeles Clippers,104,0.0,0.0
Atlanta Hawks,112,New York Knicks,101,1.0,0.0
Charlotte Hornets,94,Atlanta Hawks,97,1.0,0.0
Toronto Raptors,113,Boston Celtics,103,1.0,1.0
Miami Heat,92,Cleveland Cavaliers,102,1.0,1.0
Minnesota Timberwolves,95,Denver Nuggets,78,1.0,1.0
Chicago Bulls,94,Detroit Pistons,98,1.0,1.0
Golden State Warriors,112,Houston Rockets,92,2.0,1.0
Washington Wizards,118,Milwaukee Bucks,113,1.0,1.0
Oklahoma City Thunder,139,Orlando Magic,136,1.0,1.0
Utah Jazz,99,Philadelphia 76ers,71,1.0,1.0
Portland Trail Blazers,92,Phoenix Suns,110,1.0,1.0
Los Angeles Lakers,114,Sacramento Kings,132,1.0,1.0
Brooklyn Nets,75,San Antonio Spurs,102,1.0,1.0
Utah Jazz,97,Indiana Pacers,76,0.0,1.0
Sacramento Kings,109,Los Angeles Clippers,114,0.0,1.0
Brooklyn Nets,91,Memphis Grizzlies,101,0.0,1.0
Golden State Warriors,134,New Orleans Pelicans,120,0.0,2.0
Phoenix Suns,101,Portland Trail Blazers,90,0.0,0.0
New York Knicks,117,Washington Wizards,110,1.0,0.0
San Antonio Spurs,95,Boston Celtics,87,1.0,1.0
Orlando Magic,87,Chicago Bulls,92,1.0,1.0
Atlanta Hawks,94,Charlotte Hornets,92,1.0,1.0
Dallas Mavericks,103,Los Angeles Lakers,93,2.0,1.0
Houston Rockets,89,Miami Heat,109,1.0,1.0
Denver Nuggets,93,Oklahoma City Thunder,117,1.0,1.0
Milwaukee Bucks,87,Toronto Raptors,106,1.0,1.0
Milwaukee Bucks,103,Brooklyn Nets,96,0.0,1.0
Memphis Grizzlies,69,Golden State Warriors,119,1.0,1.0
Oklahoma City Thunder,105,Houston Rockets,110,0.0,0.0
Phoenix Suns,96,Los Angeles Clippers,102,1.0,1.0
Portland Trail Blazers,106,Minnesota Timberwolves,101,1.0,2.0
San Antonio Spurs,94,New York Knicks,84,0.0,1.0
Cleveland Cavaliers,107,Philadelphia 76ers,100,2.0,2.0
Chicago Bulls,105,Charlotte Hornets,130,1.0,1.0
Toronto Raptors,102,Dallas Mavericks,91,1.0,1.0
Indiana Pacers,94,Detroit Pistons,82,2.0,3.0
Denver Nuggets,120,Los Angeles Lakers,109,1.0,1.0
Atlanta Hawks,98,Miami Heat,92,1.0,1.0
Orlando Magic,103,New Orleans Pelicans,94,1.0,2.0
Memphis Grizzlies,103,Sacramento Kings,89,0.0,2.0
Brooklyn Nets,87,Atlanta Hawks,101,1.0,0.0
New York Knicks,86,Cleveland Cavaliers,96,1.0,1.0
Los Angeles Clippers,108,Golden State Warriors,112,1.0,1.0
Orlando Magic,114,Houston Rockets,119,0.0,1.0
Boston Celtics,98,Indiana Pacers,100,2.0,0.0
Philadelphia 76ers,87,Milwaukee Bucks,91,1.0,1.0
Toronto Raptors,103,Oklahoma City Thunder,98,0.0,1.0
Sacramento Kings,97,Phoenix Suns,118,0.0,1.0
Portland Trail Blazers,108,Utah Jazz,92,1.0,3.0
San Antonio Spurs,99,Washington Wizards,102,1.0,3.0
Oklahoma City Thunder,98,Chicago Bulls,104,0.0,1.0
Charlotte Hornets,108,Dallas Mavericks,94,1.0,1.0
Utah Jazz,96,Denver Nuggets,84,0.0,1.0
Miami Heat,96,Minnesota Timberwolves,84,1.0,2.0
Memphis Grizzlies,96,Portland Trail Blazers,115,1.0,0.0
Washington Wizards,98,Boston Celtics,118,1.0,1.0
Los Angeles Lakers,104,Brooklyn Nets,98,2.0,1.0
Philadelphia 76ers,102,Cleveland Cavaliers,108,1.0,1.0
Denver Nuggets,104,Golden State Warriors,119,0.0,1.0
Miami Heat,87,Indiana Pacers,90,0.0,1.0
Atlanta Hawks,121,New Orleans Pelicans,115,1.0,2.0
Milwaukee Bucks,99,New York Knicks,92,1.0,1.0
Toronto Raptors,87,Orlando Magic,92,1.0,1.0
Detroit Pistons,100,Phoenix Suns,92,2.0,1.0
Houston Rockets,116,Sacramento Kings,110,1.0,1.0
