Tm,year,3P%,3P%_Opp,3PA,3PA_Opp,3PM,3PM_Opp,A/TO,AFG%,Assists,Assists_Opp,Blocks,Blocks_Opp,Def_Reb,Def_Reb_Opp,Diff,FG%,FG%.1_Opp,FG%_Opp,FGA,FGA_Opp,FGM,FGM_Opp,FT%,FT%_Opp,FTA,FTA_Opp,FTM,FTM_Opp,Off_Reb,Off_Reb_Opp,PPS,PPS_Opp,PTS,PTS_Opp,Reb_Pct_Def,Reb_Pct_Off,Reb_Pct_Tot,Steals,Steals_Opp,Tech,Tot_Reb,Tot_Reb_Opp,Turnovers,Turnovers_Opp
Atlanta,2000,0.317,0.367,814.0,1015.0,258.0,373.0,1.22,0.46,1548.0,1886.0,461.0,404.0,2570.0,2474.0,190.0,0.441,0.481,0.455,6807.0,7060.0,3000.0,3211.0,0.743,0.769,1987.0,1796.0,1477.0,1381.0,1146.0,1052.0,1.14,1.16,7735.0,8176.0,0.71,0.317,0.513,500.0,655.0,54.0,3716.0,3526.0,1266.0,1001.0
Atlanta,2001,0.357,0.367,933.0,1080.0,333.0,396.0,1.14,0.456,1559.0,1737.0,387.0,513.0,2490.0,2534.0,-45.0,0.431,0.472,0.442,6668.0,6609.0,2876.0,2922.0,0.759,0.765,1811.0,2153.0,1374.0,1646.0,1028.0,1029.0,1.12,1.19,7459.0,7886.0,0.708,0.289,0.497,634.0,698.0,63.0,3518.0,3563.0,1368.0,1212.0
Atlanta,2002,0.354,0.355,1194.0,1329.0,423.0,472.0,1.3,0.471,1656.0,1856.0,350.0,509.0,2445.0,2523.0,-127.0,0.439,0.495,0.459,6610.0,6675.0,2901.0,3065.0,0.765,0.744,1942.0,1957.0,1486.0,1456.0,955.0,1004.0,1.17,1.21,7711.0,8058.0,0.709,0.275,0.491,667.0,705.0,57.0,3400.0,3527.0,1275.0,1239.0
Atlanta,2003,0.352,0.359,1141.0,1243.0,402.0,446.0,1.23,0.476,1679.0,1771.0,473.0,409.0,2558.0,2420.0,2.0,0.444,0.469,0.436,6434.0,6908.0,2859.0,3015.0,0.793,0.76,2011.0,2013.0,1594.0,1530.0,937.0,1073.0,1.2,1.16,7714.0,8006.0,0.704,0.279,0.5,611.0,738.0,60.0,3495.0,3493.0,1367.0,1068.0
Atlanta,2004,0.335,0.358,1249.0,1345.0,419.0,482.0,1.22,0.465,1648.0,1803.0,408.0,416.0,2507.0,2485.0,-30.0,0.433,0.476,0.44,6529.0,6740.0,2829.0,2968.0,0.776,0.76,1976.0,2072.0,1534.0,1574.0,996.0,1048.0,1.17,1.19,7611.0,7992.0,0.705,0.286,0.498,627.0,731.0,67.0,3503.0,3533.0,1350.0,1151.0
Atlanta,2005,0.312,0.379,973.0,1232.0,304.0,467.0,1.22,0.464,1614.0,1803.0,344.0,484.0,2335.0,2483.0,50.0,0.441,0.513,0.476,6672.0,6389.0,2942.0,3044.0,0.711,0.77,1994.0,2396.0,1417.0,1846.0,1100.0,902.0,1.14,1.31,7605.0,8401.0,0.721,0.307,0.504,629.0,716.0,67.0,3435.0,3385.0,1319.0,1210.0
Atlanta,2006,0.367,0.368,1154.0,1205.0,424.0,444.0,1.27,0.486,1625.0,1689.0,394.0,422.0,2232.0,2335.0,-15.0,0.454,0.513,0.478,6496.0,6433.0,2946.0,3075.0,0.75,0.745,2207.0,2372.0,1656.0,1768.0,1069.0,981.0,1.23,1.3,7972.0,8362.0,0.695,0.314,0.499,587.0,597.0,59.0,3301.0,3316.0,1284.0,1227.0
Atlanta,2007,0.329,0.376,1038.0,1236.0,341.0,465.0,1.2,0.471,1573.0,1732.0,446.0,421.0,2312.0,2370.0,-30.0,0.444,0.503,0.466,6372.0,6335.0,2831.0,2953.0,0.761,0.734,2203.0,2315.0,1677.0,1699.0,976.0,948.0,1.21,1.27,7680.0,8070.0,0.709,0.292,0.498,609.0,597.0,47.0,3288.0,3318.0,1306.0,1247.0
Atlanta,2008,0.356,0.362,1078.0,1413.0,384.0,512.0,1.48,0.483,1804.0,1825.0,448.0,421.0,2454.0,2386.0,100.0,0.454,0.501,0.463,6552.0,6733.0,2975.0,3115.0,0.772,0.752,2227.0,1943.0,1720.0,1461.0,1008.0,968.0,1.23,1.22,8054.0,8203.0,0.717,0.297,0.508,600.0,615.0,36.0,3462.0,3354.0,1223.0,1123.0
Atlanta,2009,0.366,0.353,1633.0,1496.0,597.0,528.0,1.58,0.504,1657.0,1705.0,376.0,354.0,2412.0,2481.0,-154.0,0.458,0.494,0.454,6451.0,6609.0,2956.0,3002.0,0.737,0.769,2085.0,1800.0,1537.0,1385.0,870.0,955.0,1.25,1.2,8046.0,7917.0,0.716,0.26,0.489,603.0,530.0,58.0,3282.0,3436.0,1048.0,1121.0
