away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
ORL,.425,.225,84.7,26.7,101.5,19.3,CHH,.476,.268,98.5,28.0,101.5,17.6,/boxscores/199911020CHH.html
GSW,.457,.256,98.0,37.5,97.9,19.7,DAL,.471,.329,110.3,25.0,97.9,11.5,/boxscores/199911020DAL.html
PHO,.428,.063,97.6,33.3,94.7,10.0,DEN,.494,.213,102.3,26.0,94.7,15.2,/boxscores/199911020DEN.html
MIL,.500,.241,112.3,27.0,87.2,8.1,HOU,.493,.253,106.6,37.5,87.2,17.0,/boxscores/199911020HOU.html
SEA,.435,.247,110.2,36.5,94.4,9.3,LAC,.487,.205,97.5,26.1,94.4,15.9,/boxscores/199911020LAC.html
DET,.460,.313,104.2,25.4,96.9,13.9,MIA,.434,.340,109.4,36.1,96.9,9.9,/boxscores/199911020MIA.html
IND,.513,.500,116.0,33.3,102.6,16.5,NJN,.475,.432,109.2,34.9,102.6,15.1,/boxscores/199911020NJN.html
CLE,.435,.221,91.8,20.5,91.5,17.1,NYK,.473,.297,100.5,23.7,91.5,14.9,/boxscores/199911020NYK.html
PHI,.367,.181,87.4,27.1,86.9,11.5,SAS,.472,.292,102.4,40.5,86.9,19.1,/boxscores/199911020SAS.html
BOS,.589,.233,111.2,18.8,92.7,17.1,TOR,.460,.280,97.1,23.3,92.7,16.2,/boxscores/199911020TOR.html
LAL,.487,.224,105.3,34.8,86.4,15.5,UTA,.455,.343,97.2,21.6,86.4,17.6,/boxscores/199911020UTA.html
POR,.567,.159,119.4,25.7,88.8,10.0,VAN,.413,.320,96.9,33.3,88.8,15.1,/boxscores/199911020VAN.html
ATL,.410,.295,91.0,34.8,95.6,20.1,WAS,.460,.148,98.3,26.1,95.6,13.6,/boxscores/199911020WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
WAS,.487,.304,106.1,31.7,95.2,13.8,BOS,.540,.193,117.6,33.3,95.2,14.0,/boxscores/199911030BOS.html
NYK,.500,.105,107.6,48.4,78.1,19.2,CHI,.326,.420,94.8,32.7,78.1,10.4,/boxscores/199911030CHI.html
NJN,.366,.366,89.5,28.6,100.6,17.7,CLE,.494,.210,96.4,33.3,100.6,23.1,/boxscores/199911030CLE.html
VAN,.411,.384,94.5,30.4,93.1,16.6,LAL,.511,.110,110.6,36.6,93.1,11.7,/boxscores/199911030LAL.html
DET,.469,.238,90.8,11.4,103.5,17.3,ORL,.473,.161,99.5,39.6,103.5,17.5,/boxscores/199911030ORL.html
LAC,.456,.313,105.9,23.3,92.5,10.6,POR,.635,.365,130.8,29.6,92.5,14.5,/boxscores/199911030POR.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
MIL,.478,.367,117.1,29.3,101.6,9.4,ATL,.530,.253,107.2,39.5,101.6,21.3,/boxscores/199911040ATL.html
IND,.514,.225,86.2,15.2,103.3,28.6,CHH,.460,.207,94.9,19.2,103.3,11.5,/boxscores/199911040CHH.html
PHI,.369,.263,88.8,33.3,90.0,15.7,PHO,.411,.329,93.3,41.5,90.0,22.4,/boxscores/199911040PHO.html
GSW,.358,.205,87.0,38.6,93.1,14.7,SAS,.525,.235,111.7,25.6,93.1,12.1,/boxscores/199911040SAS.html
DAL,.483,.112,97.9,18.2,98.0,14.3,SEA,.445,.170,108.1,40.0,98.0,9.2,/boxscores/199911040SEA.html
MIA,.458,.120,94.2,31.0,91.3,16.7,TOR,.488,.151,106.3,25.0,91.3,10.5,/boxscores/199911040TOR.html
HOU,.493,.221,88.2,14.7,92.9,23.3,UTA,.545,.182,105.4,25.8,92.9,18.2,/boxscores/199911040UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
CHH,.500,.333,104.1,28.2,96.1,17.4,BOS,.471,.241,107.2,37.5,96.1,14.6,/boxscores/199911050BOS.html
MIA,.570,.338,109.8,23.5,95.6,20.7,CHI,.429,.256,91.0,26.7,95.6,18.2,/boxscores/199911050CHI.html
NYK,.590,.250,106.4,18.8,96.8,19.6,DET,.404,.289,94.0,23.4,96.8,14.1,/boxscores/199911050DET.html
SAS,.494,.247,101.7,26.8,93.4,17.1,HOU,.422,.181,91.0,32.6,93.4,17.7,/boxscores/199911050HOU.html
PHI,.343,.256,82.3,31.0,98.4,15.8,LAC,.464,.391,92.4,31.6,98.4,26.0,/boxscores/199911050LAC.html
TOR,.523,.241,122.9,43.2,91.2,10.7,NJN,.393,.247,100.9,28.3,91.2,7.3,/boxscores/199911050NJN.html
CLE,.517,.122,99.9,23.3,104.1,17.2,ORL,.405,.232,95.1,36.7,104.1,16.4,/boxscores/199911050ORL.html
DEN,.466,.189,89.5,23.7,92.8,20.3,POR,.500,.218,102.4,33.3,92.8,17.4,/boxscores/199911050POR.html
MIN,.424,.111,90.2,28.6,105.3,14.6,SAC,.405,.242,95.0,28.3,105.3,15.1,/boxscores/199911050SAC.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
CHI,.456,.300,107.1,37.0,90.6,12.8,ATL,.562,.272,124.8,37.1,90.6,10.3,/boxscores/199911060ATL.html
NYK,.470,.195,98.8,22.7,94.2,14.2,CLE,.465,.486,108.3,25.0,94.2,14.9,/boxscores/199911060CLE.html
DAL,.545,.258,127.9,27.8,93.8,8.2,GSW,.377,.160,103.4,49.3,93.8,10.1,/boxscores/199911060GSW.html
BOS,.563,.225,115.7,27.0,93.3,15.1,IND,.547,.440,123.2,30.0,93.3,13.1,/boxscores/199911060IND.html
DET,.560,.217,109.7,23.1,101.2,17.5,MIL,.556,.247,119.6,18.9,101.2,8.3,/boxscores/199911060MIL.html
SAC,.518,.167,101.8,18.2,99.3,14.5,MIN,.538,.176,114.9,32.6,99.3,12.4,/boxscores/199911060MIN.html
LAL,.417,.218,91.5,30.0,89.6,13.1,POR,.558,.290,108.3,17.2,89.6,17.8,/boxscores/199911060POR.html
UTA,.487,.215,110.9,35.0,84.8,13.9,SEA,.551,.152,116.8,29.4,84.8,10.2,/boxscores/199911060SEA.html
DEN,.500,.343,110.9,28.9,84.8,17.9,VAN,.568,.210,128.6,41.2,84.8,9.1,/boxscores/199911060VAN.html
ORL,.488,.346,110.3,21.4,97.0,10.1,WAS,.466,.264,107.2,39.1,97.0,16.0,/boxscores/199911060WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
DAL,.445,.293,101.0,21.7,96.1,12.0,LAL,.494,.233,109.3,31.9,96.1,9.7,/boxscores/199911070LAL.html
WAS,.424,.163,88.4,32.7,98.4,18.0,NJN,.478,.303,113.8,36.2,98.4,13.3,/boxscores/199911070NJN.html
SAS,.405,.071,83.2,34.6,89.0,16.5,PHO,.416,.096,86.5,27.7,89.0,14.4,/boxscores/199911070PHO.html
CHH,.500,.456,105.6,31.4,93.7,21.2,TOR,.580,.080,116.3,28.9,93.7,13.2,/boxscores/199911070TOR.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
ATL,.476,.268,112.0,32.5,89.3,11.2,DEN,.500,.198,128.8,45.8,89.3,6.2,/boxscores/199911080DEN.html
ORL,.379,.273,94.3,37.5,108.1,14.8,HOU,.443,.342,89.7,27.1,108.1,22.1,/boxscores/199911080HOU.html
UTA,.500,.237,101.7,18.2,92.4,15.7,LAC,.356,.370,85.5,19.1,92.4,13.7,/boxscores/199911080LAC.html
MIL,.423,.264,101.5,30.0,90.1,11.8,NYK,.448,.379,111.6,26.7,90.1,10.4,/boxscores/199911080NYK.html
SEA,.488,.205,102.3,30.0,95.8,14.2,PHI,.510,.127,122.2,45.7,95.8,9.9,/boxscores/199911080PHI.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
PHO,.569,.292,104.5,41.7,98.6,25.2,CHI,.378,.324,81.1,34.9,98.6,22.3,/boxscores/199911090CHI.html
LAL,.653,.141,119.6,37.8,102.9,17.7,DAL,.456,.198,98.2,23.5,102.9,13.0,/boxscores/199911090DAL.html
SAS,.574,.193,116.7,27.9,101.1,13.9,GSW,.353,.232,88.0,29.8,101.1,11.6,/boxscores/199911090GSW.html
IND,.453,.158,100.6,30.2,100.4,13.4,MIA,.532,.151,112.5,32.6,100.4,12.8,/boxscores/199911090MIA.html
POR,.438,.315,106.9,32.4,81.4,10.3,UTA,.440,.493,113.0,24.3,81.4,10.7,/boxscores/199911090UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
DET,.500,.310,112.4,25.6,97.9,12.6,BOS,.460,.307,94.0,18.6,97.9,19.4,/boxscores/199911100BOS.html
MIL,.558,.325,124.1,37.1,89.4,13.5,CHH,.557,.367,130.8,28.6,89.4,9.5,/boxscores/199911100CHH.html
LAL,.426,.247,98.3,27.3,90.5,14.1,HOU,.446,.297,97.2,28.6,90.5,15.3,/boxscores/199911100HOU.html
SAS,.453,.259,104.8,31.9,94.4,14.1,LAC,.486,.352,99.5,21.1,94.4,17.4,/boxscores/199911100LAC.html
PHO,.488,.247,108.1,40.0,96.2,17.9,NJN,.393,.274,92.5,28.6,96.2,14.2,/boxscores/199911100NJN.html
PHI,.500,.154,109.0,34.8,96.3,13.0,ORL,.529,.221,114.2,24.4,96.3,10.2,/boxscores/199911100ORL.html
ATL,.429,.196,95.9,22.7,91.6,12.0,VAN,.484,.141,100.8,32.6,91.6,15.4,/boxscores/199911100VAN.html
SEA,.569,.115,109.6,22.2,99.5,14.6,WAS,.489,.078,95.5,27.5,99.5,16.6,/boxscores/199911100WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
SEA,.489,.181,110.2,32.7,98.9,10.2,CLE,.442,.117,104.1,34.5,98.9,9.8,/boxscores/199911110CLE.html
TOR,.571,.321,123.8,39.4,99.4,15.6,DET,.417,.344,106.7,30.9,99.4,10.8,/boxscores/199911110DET.html
ORL,.506,.124,103.5,32.6,97.6,17.3,IND,.628,.311,118.9,20.0,97.6,16.2,/boxscores/199911110IND.html
DAL,.454,.175,100.5,13.5,104.4,7.0,MIA,.619,.216,122.6,25.7,104.4,15.6,/boxscores/199911110MIA.html
NYK,.458,.155,100.6,23.8,89.5,10.8,MIN,.436,.321,103.9,20.0,89.5,8.9,/boxscores/199911110MIN.html
