Player,Tm,MP
Quincy Acy,NYK,1287
Jordan Adams,MEM,248
Steven Adams,OKC,1771
Jeff Adrien,MIN,215
Arron Afflalo,TOT,2502
Alexis Ajinca,NOP,957
Furkan Aldemir,PHI,540
Cole Aldrich,NYK,976
LaMarcus Aldridge,POR,2512
Lavoy Allen,IND,1070
Tony Allen,MEM,1648
Al-Farouq Aminu,DAL,1366
Lou Amundson,TOT,937
Chris Andersen,MIA,1132
Alan Anderson,BRK,1744
Kyle Anderson,SAS,358
Ryan Anderson,NOP,1675
Giannis Antetokounmpo,MIL,2541
Carmelo Anthony,NYK,1428
Joel Anthony,DET,406
Pero Antic,ATL,1037
Trevor Ariza,HOU,2930
Darrell Arthur,DEN,988
Omer Asik,NOP,1982
D.J. Augustin,TOT,1964
Jeff Ayres,SAS,383
Luke Babbitt,NOP,830
Cameron Bairstow,CHI,64
Leandro Barbosa,GSW,982
J.J. Barea,DAL,1362
Andrea Bargnani,NYK,785
Harrison Barnes,GSW,2318
Matt Barnes,LAC,2271
Earl Barron,PHO,143
Will Barton,TOT,983
Brandon Bass,BOS,1929
Nicolas Batum,POR,2380
Jerryd Bayless,MIL,1717
Aron Baynes,SAS,1122
Kent Bazemore,ATL,1324
Bradley Beal,WAS,2107
Michael Beasley,MIA,505
Marco Belinelli,SAS,1388
Jerrelle Benimon,UTA,3
Anthony Bennett,MIN,894
Patrick Beverley,HOU,1727
Sim Bhullar,SAC,3
Bismack Biyombo,CHO,1243
Tarik Black,TOT,1196
DeJuan Blair,WAS,180
Steve Blake,POR,1529
Eric Bledsoe,PHO,2800
Vander Blue,LAL,74
Bojan Bogdanovic,BRK,1854
Andrew Bogut,GSW,1583
Matt Bonner,SAS,935
Trevor Booker,UTA,1564
Carlos Boozer,LAL,1692
Chris Bosh,MIA,1556
Avery Bradley,BOS,2428
Elton Brand,ATL,486
Corey Brewer,TOT,2087
Aaron Brooks,CHI,1885
Jabari Brown,LAL,568
Lorenzo Brown,MIN,549
Markel Brown,BRK,781
Shannon Brown,MIA,89
Kobe Bryant,LAL,1207
Chase Budinger,MIN,1286
Reggie Bullock,TOT,338
Trey Burke,UTA,2288
Alec Burks,UTA,899
Caron Butler,DET,1623
Jimmy Butler,CHI,2513
Rasual Butler,WAS,1505
Dwight Buycks,LAL,123
Will Bynum,WAS,67
Bruno Caboclo,TOR,23
Nick Calathes,MEM,838
Jose Calderon,NYK,1270
Kentavious Caldwell-Pope,DET,2587
Isaiah Canaan,TOT,938
Clint Capela,HOU,90
DeMarre Carroll,ATL,2189
Vince Carter,MEM,1091
Michael Carter-Williams,TOT,2149
Omri Casspi,SAC,1416
Mario Chalmers,MIA,2368
Tyson Chandler,DAL,2286
Wilson Chandler,DEN,2471
Will Cherry,CLE,69
Patrick Christopher,UTA,29
Earl Clark,BRK,93
Ian Clark,TOT,192
Jordan Clarkson,LAL,1476
Victor Claver,POR,76
Norris Cole,TOT,1831
Darren Collison,SAC,1565
Nick Collison,OKC,1101
Mike Conley,MEM,2225
Jack Cooley,UTA,87
Chris Copeland,IND,828
Bryce Cotton,UTA,159
DeMarcus Cousins,SAC,2013
Robert Covington,PHI,1956
Allen Crabbe,POR,683
Jamal Crawford,LAC,1703
Jae Crowder,TOT,1647
Dante Cunningham,NOP,1652
Jared Cunningham,LAC,89
Seth Curry,PHO,8
Stephen Curry,GSW,2613
Samuel Dalembert,NYK,544
Troy Daniels,TOT,397
Luigi Datome,TOT,209
Brandon Davies,TOT,423
Anthony Davis,NOP,2455
Ed Davis,LAL,1840
Glen Davis,LAC,904
Andre Dawkins,MIA,22
Austin Daye,TOT,344
Dewayne Dedmon,ORL,845
Matthew Dellavedova,CLE,1380
Luol Deng,MIA,2421
DeMar DeRozan,TOR,2100
Boris Diaw,SAS,1984
Gorgui Dieng,MIN,2193
Spencer Dinwiddie,DET,455
Joey Dorsey,HOU,854
Toney Douglas,NOP,177
Chris Douglas-Roberts,LAC,103
Goran Dragic,TOT,2640
Zoran Dragic,TOT,75
Larry Drew,PHI,219
Andre Drummond,DET,2502
Jared Dudley,MIL,1717
Tim Duncan,SAS,2227
Mike Dunleavy,CHI,1838
Kevin Durant,OKC,913
Cleanthony Early,NYK,647
Wayne Ellington,LAL,1675
Monta Ellis,DAL,2699
James Ennis,MIA,1051
Tyler Ennis,TOT,411
Jeremy Evans,UTA,266
Reggie Evans,SAC,764
Tyreke Evans,NOP,2690
Dante Exum,UTA,1817
Festus Ezeli,GSW,504
Kenneth Faried,DEN,2086
Jordan Farmar,LAC,529
Derrick Favors,UTA,2280
Raymond Felton,DAL,281
Landry Fields,TOR,216
Evan Fournier,ORL,1661
Randy Foye,DEN,1087
Jamaal Franklin,DEN,13
Tim Frazier,TOT,239
Jimmer Fredette,NOP,509
Joel Freeland,POR,617
Channing Frye,ORL,1870
Danilo Gallinari,DEN,1426
Langston Galloway,NYK,1457
Francisco Garcia,HOU,200
Kevin Garnett,TOT,952
Marc Gasol,MEM,2687
Pau Gasol,CHI,2681
Rudy Gay,SAC,2408
Alonzo Gee,TOT,662
Paul George,IND,91
Taj Gibson,CHI,1692
Manu Ginobili,SAS,1587
Rudy Gobert,UTA,2158
Drew Gooden,WAS,864
Archie Goodwin,PHO,535
Aaron Gordon,ORL,797
Ben Gordon,ORL,790
Drew Gordon,PHI,71
Eric Gordon,NOP,2018
Marcin Gortat,WAS,2453
Danny Granger,MIA,613
Jerami Grant,PHI,1377
Danny Green,SAS,2312
Draymond Green,GSW,2490
Erick Green,DEN,410
Gerald Green,PHO,1446
JaMychal Green,TOT,164
Jeff Green,TOT,2454
Willie Green,ORL,951
Blake Griffin,LAC,2356
Jorge Gutierrez,TOT,175
P.J. Hairston,CHO,687
Jordan Hamilton,LAC,122
Justin Hamilton,TOT,712
Tyler Hansbrough,TOR,1058
Tim Hardaway,NYK,1681
James Harden,HOU,2981
Maurice Harkless,ORL,674
Devin Harris,DAL,1685
Gary Harris,DEN,719
Joe Harris,CLE,493
Tobias Harris,ORL,2369
Udonis Haslem,MIA,995
Spencer Hawes,LAC,1274
Chuck Hayes,TOR,255
Gordon Hayward,UTA,2618
Brendan Haywood,CLE,119
Gerald Henderson,CHO,2315
Xavier Henry,LAL,86
John Henson,MIL,1228
Roy Hibbert,IND,1926
J.J. Hickson,DEN,1411
Nene Hilario,WAS,1693
George Hill,IND,1267
Jordan Hill,LAL,1874
Solomon Hill,IND,2381
Kirk Hinrich,CHI,1610
Jrue Holiday,NOP,1303
Justin Holiday,GSW,657
Ryan Hollins,SAC,441
Rodney Hood,UTA,1064
Al Horford,ATL,2318
Dwight Howard,HOU,1223
Lester Hudson,LAC,56
Robbie Hummel,MIN,742
Kris Humphries,WAS,1345
Serge Ibaka,OKC,2116
Andre Iguodala,GSW,2069
Ersan Ilyasova,MIL,1319
Joe Ingles,UTA,1673
Kyrie Irving,CLE,2730
Jarrett Jack,BRK,2241
Reggie Jackson,TOT,2268
Bernard James,DAL,158
LeBron James,CLE,2493
Al Jefferson,CHO,1992
Cory Jefferson,BRK,531
Richard Jefferson,DAL,1244
John Jenkins,ATL,297
Brandon Jennings,DET,1173
Jonas Jerebko,TOT,1230
Grant Jerrett,TOT,51
Amir Johnson,TOR,1979
Chris Johnson,TOT,526
James Johnson,TOR,1370
Joe Johnson,BRK,2791
Nick Johnson,HOU,262
Tyler Johnson,MIA,603
Wesley Johnson,LAL,2245
Dahntay Jones,LAC,123
James Jones,CLE,669
Perry Jones,OKC,631
