Numot,Season,game_id,host_lat,host_long,host_site,season,team1_id,team1_score,team2_id,team2_score,team1_seed,team1_lat,team1_long,team1_teamname,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team1_ap_preseason,team1_ap_final,team1_coaches_preseason,team1_coaches_before_final,team1_rpi_rating,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_seed,team2_lat,team2_long,team2_teamname,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team2_ap_preseason,team2_ap_final,team2_coaches_preseason,team2_coaches_before_final,team2_rpi_rating,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,result
0,2002,2002-1104-1194,35.6017,-77.3725,Greenville,2002,1104,86,1194,78,2,33.2144,-87.545766,Alabama,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,69.8636,69.9001,108.4361,111.4954,95.2313,93.877,24,8,24,8,0.637,mark-gottfried-1,Mark Gottfried,0,2,0,0,0,0,149,49,73,26,7,26,7,15,26.372536,-80.102293,Florida Atlantic,45.0355,33.9114,66.7785,8.1871,48.538,34.3925,68.8172,9.9291,26.9051,30.8891,56.5968,56.3399,0.1282,0.1076,71.2357,71.2446,100.2897,96.8669,98.4183,99.9263,,,,,0.522,sidney-green-1,Sidney Green,0,0,0,0,0,0,28,63,63,19,11,19,11,1
0,2002,2002-1112-1364,35.1107,-106.61,Albuquerque,2002,1112,86,1364,81,3,32.232071,-110.950769,Arizona,50,37.6093,73.0769,7.2512,47.8576,34.7826,70.1258,8.4934,33.6275,31.9731,56.4706,54.8255,0.0835,0.0839,74.1462,72.8207,111.0077,117.3877,104.0411,96.9262,,7,,8,0.635,lute-olson-1,Lute Olson,17,22,8,10,4,5,656,144,239,22,9,22,9,14,34.415462,-119.848071,UC Santa Barbara,47.0414,40.8247,75.8117,8.7185,43.1723,32.0968,69.3679,6.7061,32.3549,39.4402,65.7778,58.5246,0.0868,0.0778,63.2345,64.7948,105.2163,105.4534,96.0965,97.6704,,,,,0.55,bob-williams-1,Bob Williams,0,0,0,0,0,0,62,52,52,20,10,20,10,1
0,2002,2002-1231-1428,38.5556,-121.4689,Sacramento,2002,1231,75,1428,56,5,39.166383,-86.526904,Indiana,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,65.7442,66.5739,105.3974,109.6136,94.4987,89.9224,22,,22,,0.611,mike-davis-6,Mike Davis,1,1,0,0,0,0,41,24,24,20,11,20,11,12,40.762484,-111.846044,Utah,50.306,40.4719,67.9443,7.3961,49.1388,31.8302,70.6406,7.3439,40.2778,27.6393,63.7224,51.5702,0.0922,0.0927,62.6181,63.3547,107.7123,108.6231,97.4318,95.6459,,,,,0.589,rick-majerus-1,Rick Majerus,8,9,4,4,1,1,382,81,133,21,8,21,8,1
0,2002,2002-1242-1221,38.6272,-90.1978,St Louis,2002,1242,70,1221,59,1,38.957351,-95.24587,Kansas,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094,79.0371,79.1217,114.5438,115.0406,94.4261,90.5399,7,2,7,2,0.673,roy-williams-1,Roy Williams,12,12,7,7,2,2,384,92,92,29,3,29,3,16,41.699982,-86.253668,Holy Cross,42.9583,33.79,69.153,9.3551,43.6876,38.3895,65.604,9.6774,25.629,32.6606,63.1124,64.4315,0.1217,0.1047,64.2138,63.7588,98.0754,96.6995,92.2897,96.6499,,,,,0.498,ralph-willard-1,Ralph Willard,1,3,0,1,0,0,194,40,164,18,14,18,14,1
0,2002,2002-1245-1329,35.6017,-77.3725,Greenville,2002,1245,69,1329,61,10,41.146856,-81.342253,Kent St.,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,65.4145,66.1658,115.7547,113.6686,96.7084,96.201,,,,,0.604,stan-heath-1,Stan Heath,0,0,0,0,0,0,27,5,5,27,5,27,5,7,36.123085,-97.069743,Oklahoma St.,49.3718,32.7451,64.4068,8.641,45.1689,30.742,68.231,8.8692,27.3752,30.7776,55.0898,51.0013,0.1124,0.0997,68.8801,67.3849,103.9347,104.227,92.8097,91.8988,18,20,18,22,0.605,eddie-sutton-1,Eddie Sutton,9,22,4,11,1,2,704,113,278,23,8,23,8,1
0,2002,2002-1246-1434,38.6272,-90.1978,St Louis,2002,1246,83,1434,68,4,38.028081,-84.510698,Kentucky,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987,70.2659,69.3445,105.2773,109.8256,94.9881,91.1143,4,16,4,15,0.613,tubby-smith-1,Tubby Smith,4,8,3,6,1,1,254,42,104,20,9,20,9,13,41.463176,-87.045853,Valparaiso,51.0804,35.0133,67.3973,10.741,45.2956,35.5155,65.8163,6.3094,39.4558,33.7196,63.9766,66.8857,0.1415,0.0957,69.9092,70.2168,110.5689,109.2741,94.0668,96.7884,,,,,0.55,homer-drew-1,Homer Drew,5,5,1,1,0,0,235,184,184,25,7,25,7,1
0,2002,2002-1281-1274,35.1107,-106.61,Albuquerque,2002,1281,93,1274,80,12,38.626527,-90.336949,Missouri,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101,70.7578,70.5889,112.716,112.3241,101.992,99.0919,8,,8,,0.564,quin-snyder-1,Quin Snyder,2,2,0,0,0,0,59,37,37,21,11,21,11,5,25.720406,-80.27645,Miami FL,47.7441,34.5029,77.1386,15.6766,45.0495,30.9064,67.4847,9.9262,35.9432,35.7029,64.1809,53.183,0.1241,0.1028,70.5375,70.2876,104.5566,108.2862,93.077,93.5169,,21,,21,0.607,perry-clark-1,Perry Clark,0,3,0,0,0,0,225,20,165,24,7,24,7,1
0,2002,2002-1326-1172,35.1107,-106.61,Albuquerque,2002,1326,69,1172,64,4,39.998389,-83.009001,Ohio St.,52.589,37.5536,67.5472,6.8306,49.9089,32.0624,70.1149,8.8997,27.3796,34.4478,58.5455,54.8431,0.0904,0.0744,66.3782,68.1862,111.3386,115.5508,96.5748,96.7318,,14,,12,0.605,jim-obrien-1,Jim O'Brien,3,6,1,2,1,1,336,56,273,23,7,23,7,13,35.500006,-80.845236,Davidson,46.7928,34.6278,69.0299,9.1155,41.2455,33.7736,74.6711,8.0967,39.3881,32.3565,61.6085,48.1132,0.0898,0.1109,68.8836,66.7211,98.0026,99.8067,97.679,95.7897,,,,,0.581,bob-mckillop-1,Bob McKillop,1,1,0,0,0,0,205,170,170,21,9,21,9,1
0,2002,2002-1332-1285,38.5556,-121.4689,Sacramento,2002,1332,81,1285,62,2,44.044515,-123.07398,Oregon,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927,73.3053,72.3868,116.3415,116.6486,96.8665,95.8647,,11,,11,0.593,ernie-kent-1,Ernie Kent,1,2,0,0,0,0,181,57,137,23,8,23,8,15,46.861074,-113.98294,Montana,50.9,34.8754,67.6471,9.935,47.0752,38.087,68.0758,8.9,35.9795,34.8063,59.4326,60.4683,0.0755,0.0923,70.0308,70.0751,101.9545,100.4848,105.0276,104.8021,,,,,0.553,don-holst-1,Don Holst,0,0,0,0,0,0,57,55,55,16,14,16,14,1
0,2002,2002-1409-1266,38.6272,-90.1978,St Louis,2002,1409,71,1266,69,12,36.151887,-95.945175,Tulsa,51.0526,40.2262,75.389,11.2177,46.3469,34.8276,68.0251,9.0226,31.7599,29.9742,60.5603,51.9277,0.1094,0.0945,71.3555,71.285,112.0819,111.68,96.5354,98.0707,,,,,0.592,john-phillips-1,John Phillips,0,0,0,0,0,0,26,6,6,26,6,26,6,5,43.038765,-87.928122,Marquette,50.3971,37.9386,69.1667,10.0983,44.7721,32.0814,65.3716,7.4368,24.7691,36.3481,52.8129,59.4901,0.1259,0.0925,67.3809,66.3464,108.5643,110.5513,90.0151,90.5247,,12,,10,0.599,tom-crean-1,Tom Crean,0,0,0,0,0,0,56,34,34,26,6,26,6,1
