pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,8/11/17,93.8,2.1932,5.6273,Marco Gonzales,527043,594835,home_run,hit_into_play_score,,,,,2,Jefry Marte homers (4) on a line drive to left field.  ,R,R,L,SEA,LAA,X,null,line_drive,1,2,2017,0.9062,1.6191,-0.1019,2.8186,null,null,null,2,2,Top,24.68,82.5,,,572287,,null,-7.8526,-135.9818,-4.9563,12.9392,32.1055,-11.4421,3.2884,1.4496,363,108.5,20.1,92.866,2245,6.107,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.3916,0.902,1.518,2,1,0,3,6,9,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,8/11/17,93.8,2.1714,5.6771,Marco Gonzales,592743,594835,field_out,hit_into_play,,,,,4,"Andrelton Simmons grounds out softly, third baseman Kyle Seager to first baseman Yonder Alonso.  ",R,R,L,SEA,LAA,X,5,ground_ball,2,2,2017,1.0102,1.3687,-0.572,2.2719,null,null,null,1,2,Top,115.17,177.72,,,572287,,null,-9.2798,-135.9383,-6.0011,14.599,31.227,-14.1299,3.4293,1.4999,4,46.2,-31.8,93.305,2216,6.321,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.1774,0.121,0.104,0,1,0,0,1,8,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/23/17,93.7,2.042,5.707,Marco Gonzales,596019,594835,null,ball,,,,,11,null,R,R,L,SEA,CLE,B,null,null,2,2,2017,0.7101,1.9611,-1.0376,3.9279,null,null,null,1,5,Top,null,null,,,572287,,null,-9.541,-135.9838,-3.1963,10.9164,28.9048,-7.145,3.2727,1.5316,null,null,null,94.006,2355,6.537,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,53.9617,null,null,null,null,null,null,null,36,5,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/23/17,93.7,2.1353,5.5654,Marco Gonzales,457706,594835,null,ball,,,,,12,null,R,R,L,SEA,CLE,B,null,null,1,2,2017,1.2342,1.236,0.2163,3.6279,null,null,null,2,5,Top,null,null,,,572287,,null,-7.6817,-136.1228,-2.0012,17.0635,29.0453,-16.5037,3.3898,1.5847,null,null,null,93.925,2261,6.441,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.0581,null,null,null,null,null,null,null,37,4,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/23/17,93.7,1.9268,5.644,Marco Gonzales,596019,594835,null,swinging_strike,,,,,2,null,R,R,L,SEA,CLE,S,null,null,1,1,2017,1.04,1.7903,0.1603,2.9105,null,null,null,1,5,Top,null,null,,,572287,,null,-6.8162,-135.9227,-5.1972,14.3661,30.25,-9.1203,3.1227,1.3944,null,null,null,93.36,2317,6.286,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.2132,null,null,null,null,null,null,null,36,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/23/17,93.5,2.2813,5.6075,Marco Gonzales,596019,594835,null,called_strike,,,,,2,null,R,R,L,SEA,CLE,S,null,null,0,0,2017,1.387,1.4148,0.2671,3.2126,null,null,null,1,5,Top,null,null,,,572287,,null,-8.153,-135.5584,-3.4511,18.7678,29.6442,-14.3187,3.3184,1.613,null,null,null,92.944,2204,6.154,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.3446,null,null,null,null,null,null,null,36,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,9/23/17,93.5,2.1275,5.6484,Marco Gonzales,570481,594835,null,called_strike,,,,,7,null,R,R,L,SEA,CLE,S,null,null,1,0,2017,0.9105,1.6094,-0.7099,2.3471,null,null,null,0,5,Top,null,null,,,572287,,null,-9.3107,-135.5904,-6.2964,13.2491,28.1744,-11.0637,3.6678,1.8637,null,null,null,93.667,2322,6.457,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.042,null,null,null,null,null,null,null,35,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
SI,8/11/17,93.4,2.5812,5.5691,Marco Gonzales,527043,594835,null,called_strike,,,,,8,null,R,R,L,SEA,LAA,S,null,null,0,0,2017,1.2052,1.4741,0.2082,2.2283,null,null,null,2,2,Top,null,null,,,572287,,null,-8.6995,-135.3538,-6.0032,16.6762,29.5658,-13.0084,3.5856,1.7061,null,null,null,93.006,2297,6.276,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.223,null,null,null,null,null,null,null,9,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard
SI,8/11/17,93.4,2.1375,5.7204,Marco Gonzales,594777,594835,null,ball,,,,,13,null,R,L,L,SEA,LAA,B,null,null,0,0,2017,1.0185,1.2499,-0.7187,0.7743,null,null,null,2,2,Top,null,null,,,572287,,null,-9.5295,-135.1931,-9.6339,14.4994,28.3183,-15.0206,3.2945,1.4933,null,null,null,93.083,2118,6.299,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.1996,null,null,null,null,null,null,null,10,1,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard
SI,9/23/17,93.4,1.9282,5.581,Marco Gonzales,608070,594835,null,foul,,,,,11,null,R,R,L,SEA,CLE,S,null,null,1,0,2017,0.5974,2.0366,-1.0815,2.8046,null,null,457706,2,5,Top,null,null,,,572287,,null,-9.0689,-135.3444,-5.8176,9.451,31.279,-5.9727,3.2334,1.4045,190,69.2,41.6,93.204,2248,6.528,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,53.9705,null,null,null,null,null,null,null,38,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard
